Timestamp	Lambda1	Lambda2	Lambda3	Lambda4	Lambda5	Lambda6
5/15/2023 17:19:49.47608	1518.12638	1528.01271	1538.03394	1547.85024	1557.55486	1567.44257
5/15/2023 17:19:49.97608	1518.12588	1528.01276	1538.03426	1547.8522	1557.55642	1567.44105
5/15/2023 17:19:50.47608	1518.12469	1528.01442	1538.03445	1547.85147	1557.55659	1567.44314
5/15/2023 17:19:50.97608	1518.12579	1528.01287	1538.03462	1547.85195	1557.55688	1567.44453
5/15/2023 17:19:51.47608	1518.1278	1528.01322	1538.03588	1547.85077	1557.5557	1567.44265
5/15/2023 17:19:51.97608	1518.12697	1528.01497	1538.03532	1547.85312	1557.55672	1567.44209
5/15/2023 17:19:52.47608	1518.12653	1528.01444	1538.03557	1547.85309	1557.55659	1567.44314
5/15/2023 17:19:52.97608	1518.12536	1528.01312	1538.03506	1547.85198	1557.55646	1567.44328
5/15/2023 17:19:53.47608	1518.12624	1528.01356	1538.03489	1547.85032	1557.5551	1567.44267
5/15/2023 17:19:53.97608	1518.12671	1528.01276	1538.03577	1547.85193	1557.55491	1567.44293
5/15/2023 17:19:54.47608	1518.12519	1528.01284	1538.03557	1547.85226	1557.55708	1567.44115
5/15/2023 17:19:54.97608	1518.12607	1528.01463	1538.03468	1547.85222	1557.55556	1567.44267
5/15/2023 17:19:55.47608	1518.12452	1528.01468	1538.03532	1547.85313	1557.5564	1567.44229
5/15/2023 17:19:55.97608	1518.128	1528.013	1538.03458	1547.85261	1557.55599	1567.44271
5/15/2023 17:19:56.47608	1518.12516	1528.01464	1538.03485	1547.85152	1557.55568	1567.4428
5/15/2023 17:19:56.97608	1518.12732	1528.0119	1538.03414	1547.85123	1557.55601	1567.44328
5/15/2023 17:19:57.47608	1518.12677	1528.01376	1538.03424	1547.85202	1557.55582	1567.44244
5/15/2023 17:19:57.97608	1518.12473	1528.01321	1538.03444	1547.85225	1557.55634	1567.44225
5/15/2023 17:19:58.47608	1518.12615	1528.01282	1538.03479	1547.85294	1557.55609	1567.44146
5/15/2023 17:19:58.97608	1518.12562	1528.01399	1538.03453	1547.85178	1557.55581	1567.44153
5/15/2023 17:19:59.47608	1518.12662	1528.01438	1538.03514	1547.85198	1557.55621	1567.4422
5/15/2023 17:19:59.97608	1518.12631	1528.01196	1538.03429	1547.8521	1557.55583	1567.4439
5/15/2023 17:20:00.47608	1518.12708	1528.0142	1538.03452	1547.85282	1557.55566	1567.44287
5/15/2023 17:20:00.97608	1518.12686	1528.01444	1538.03461	1547.85161	1557.55643	1567.4419
5/15/2023 17:20:01.47608	1518.12624	1528.01369	1538.03501	1547.85262	1557.55674	1567.44339
5/15/2023 17:20:01.97608	1518.12558	1528.01423	1538.03458	1547.85335	1557.55638	1567.44278
