Timestamp	Lambda1	Lambda2	Lambda3	Lambda4	Lambda5	Lambda6
5/15/2023 18:13:42.79782	1518.16432	1528.04813	1538.0651	1547.88387	1557.58459	1567.46674
5/15/2023 18:13:43.29782	1518.16419	1528.04876	1538.0666	1547.88337	1557.58449	1567.46571
5/15/2023 18:13:43.79782	1518.16427	1528.04859	1538.06575	1547.88443	1557.58387	1567.46763
5/15/2023 18:13:44.29782	1518.16462	1528.04827	1538.06547	1547.88345	1557.58324	1567.46667
5/15/2023 18:13:44.79782	1518.16485	1528.04804	1538.06438	1547.88327	1557.58292	1567.46716
5/15/2023 18:13:45.29782	1518.16486	1528.04733	1538.06621	1547.88375	1557.58469	1567.46589
5/15/2023 18:13:45.79782	1518.16553	1528.0501	1538.06522	1547.8824	1557.58344	1567.46681
5/15/2023 18:13:46.29782	1518.16527	1528.04836	1538.06591	1547.88399	1557.58499	1567.46589
5/15/2023 18:13:46.79782	1518.16451	1528.0475	1538.06649	1547.88437	1557.5856	1567.46613
5/15/2023 18:13:47.29782	1518.16361	1528.04774	1538.06606	1547.8831	1557.58493	1567.46728
5/15/2023 18:13:47.79782	1518.16527	1528.04869	1538.06596	1547.88373	1557.58439	1567.46497
5/15/2023 18:13:48.29782	1518.16337	1528.04806	1538.0651	1547.88339	1557.58384	1567.46659
5/15/2023 18:13:48.79782	1518.16559	1528.04809	1538.06661	1547.88441	1557.58466	1567.46615
5/15/2023 18:13:49.29782	1518.16361	1528.04727	1538.06646	1547.88306	1557.58274	1567.46676
5/15/2023 18:13:49.79782	1518.16493	1528.05032	1538.06544	1547.88338	1557.58354	1567.46596
5/15/2023 18:13:50.29782	1518.16336	1528.04848	1538.06694	1547.88266	1557.58441	1567.46716
5/15/2023 18:13:50.79782	1518.16587	1528.04873	1538.0668	1547.88475	1557.58347	1567.46735
5/15/2023 18:13:51.29782	1518.16573	1528.04811	1538.06676	1547.88363	1557.58395	1567.4656
5/15/2023 18:13:51.79782	1518.16438	1528.04769	1538.06486	1547.88264	1557.58401	1567.46756
5/15/2023 18:13:52.29782	1518.16523	1528.04722	1538.06592	1547.88318	1557.58474	1567.46711
5/15/2023 18:13:52.79782	1518.16508	1528.04824	1538.06504	1547.88439	1557.58454	1567.46794
5/15/2023 18:13:53.29782	1518.16402	1528.04734	1538.06588	1547.88233	1557.58388	1567.46706
5/15/2023 18:13:53.79782	1518.1646	1528.04815	1538.0656	1547.88431	1557.58276	1567.46676
5/15/2023 18:13:54.29782	1518.16626	1528.04845	1538.06576	1547.88373	1557.58436	1567.46713
5/15/2023 18:13:54.79782	1518.16432	1528.0487	1538.06556	1547.883	1557.58377	1567.46627
5/15/2023 18:13:55.29782	1518.16369	1528.04837	1538.06573	1547.8814	1557.58307	1567.46604
