Timestamp	Lambda1	Lambda2	Lambda3	Lambda4	Lambda5	Lambda6
5/15/2023 18:56:15.49593	1518.17131	1528.05526	1538.0736	1547.88944	1557.58704	1567.46804
5/15/2023 18:56:15.99593	1518.17167	1528.05545	1538.07342	1547.89014	1557.58698	1567.46678
5/15/2023 18:56:16.49593	1518.17097	1528.05574	1538.07437	1547.89002	1557.58745	1567.46643
5/15/2023 18:56:16.99593	1518.17244	1528.05687	1538.07321	1547.89051	1557.58622	1567.46592
5/15/2023 18:56:17.49593	1518.1705	1528.05502	1538.07439	1547.88995	1557.58571	1567.46698
5/15/2023 18:56:17.99593	1518.1712	1528.05583	1538.07352	1547.8883	1557.58645	1567.46726
5/15/2023 18:56:18.49593	1518.17075	1528.05589	1538.07394	1547.88965	1557.5873	1567.46739
5/15/2023 18:56:18.99593	1518.17144	1528.05663	1538.07463	1547.89106	1557.58888	1567.46718
5/15/2023 18:56:19.49593	1518.17179	1528.05449	1538.07392	1547.8901	1557.58666	1567.46738
5/15/2023 18:56:19.99593	1518.17313	1528.05678	1538.07406	1547.89113	1557.5873	1567.46565
5/15/2023 18:56:20.49593	1518.17088	1528.05653	1538.07419	1547.88943	1557.5874	1567.46766
5/15/2023 18:56:20.99593	1518.17205	1528.05483	1538.07426	1547.89142	1557.58681	1567.46613
5/15/2023 18:56:21.49593	1518.17108	1528.05722	1538.07468	1547.8892	1557.58878	1567.46719
5/15/2023 18:56:21.99593	1518.16952	1528.05323	1538.07437	1547.89204	1557.58699	1567.46629
5/15/2023 18:56:22.49593	1518.17325	1528.05598	1538.07412	1547.89004	1557.58711	1567.46657
5/15/2023 18:56:22.99593	1518.17404	1528.05604	1538.07516	1547.89189	1557.58846	1567.46566
5/15/2023 18:56:23.49593	1518.17049	1528.05513	1538.07424	1547.89022	1557.5886	1567.46661
5/15/2023 18:56:23.99593	1518.17219	1528.05515	1538.07429	1547.889	1557.58692	1567.46691
5/15/2023 18:56:24.49593	1518.17105	1528.05625	1538.07541	1547.88969	1557.58847	1567.46744
5/15/2023 18:56:24.99593	1518.17218	1528.05581	1538.07432	1547.89063	1557.58763	1567.46653
5/15/2023 18:56:25.49593	1518.17196	1528.05512	1538.07382	1547.89043	1557.58727	1567.4661
5/15/2023 18:56:25.99593	1518.17103	1528.05528	1538.07575	1547.88957	1557.58707	1567.46743
5/15/2023 18:56:26.49593	1518.17197	1528.05531	1538.0732	1547.8896	1557.58794	1567.46497
5/15/2023 18:56:26.99593	1518.17179	1528.05484	1538.07344	1547.89056	1557.58767	1567.46612
5/15/2023 18:56:27.49593	1518.17154	1528.05636	1538.07458	1547.88948	1557.58768	1567.46519
5/15/2023 18:56:27.99593	1518.17304	1528.0555	1538.07414	1547.88832	1557.587	1567.46611
5/15/2023 18:56:28.49593	1518.1719	1528.05722	1538.07253	1547.88891	1557.58763	1567.46629
5/15/2023 18:56:28.99593	1518.17068	1528.05463	1538.07369	1547.88968	1557.58782	1567.4657
5/15/2023 18:56:29.49593	1518.17242	1528.05467	1538.07418	1547.88853	1557.58663	1567.46797
5/15/2023 18:56:29.99593	1518.17053	1528.05526	1538.07457	1547.89074	1557.58842	1567.46656
5/15/2023 18:56:30.49593	1518.17036	1528.05539	1538.07333	1547.88913	1557.58665	1567.46625
5/15/2023 18:56:30.99593	1518.17123	1528.05559	1538.07367	1547.89109	1557.58754	1567.46508
5/15/2023 18:56:31.49593	1518.17039	1528.05617	1538.07479	1547.88975	1557.58749	1567.46688
5/15/2023 18:56:31.99593	1518.17179	1528.05517	1538.07406	1547.88844	1557.58692	1567.46764
5/15/2023 18:56:32.49593	1518.17067	1528.05504	1538.07403	1547.8897	1557.58821	1567.46585
5/15/2023 18:56:32.99593	1518.17431	1528.05505	1538.07323	1547.88964	1557.58742	1567.46701
5/15/2023 18:56:33.49593	1518.1716	1528.0557	1538.07287	1547.89035	1557.587	1567.46752
5/15/2023 18:56:33.99593	1518.17165	1528.05496	1538.07359	1547.89016	1557.58753	1567.46588
5/15/2023 18:56:34.49593	1518.16964	1528.0549	1538.0743	1547.88941	1557.58725	1567.46573
5/15/2023 18:56:34.99593	1518.17062	1528.05529	1538.07384	1547.88938	1557.58612	1567.4665
5/15/2023 18:56:35.49593	1518.17043	1528.05549	1538.07351	1547.88933	1557.586	1567.46674
5/15/2023 18:56:35.99593	1518.17058	1528.05624	1538.07326	1547.88997	1557.5873	1567.46562
5/15/2023 18:56:36.49593	1518.17144	1528.05609	1538.0747	1547.88937	1557.58769	1567.46599
5/15/2023 18:56:36.99593	1518.16986	1528.05462	1538.07475	1547.88922	1557.58867	1567.46643
5/15/2023 18:56:37.49593	1518.17086	1528.05481	1538.07298	1547.89054	1557.5861	1567.46574
5/15/2023 18:56:37.99593	1518.16975	1528.05531	1538.07446	1547.88957	1557.58773	1567.466
5/15/2023 18:56:38.49593	1518.17241	1528.05537	1538.07299	1547.89022	1557.5862	1567.46547
5/15/2023 18:56:38.99593	1518.17106	1528.0552	1538.07431	1547.89045	1557.58799	1567.4662
5/15/2023 18:56:39.49593	1518.17194	1528.05715	1538.07365	1547.88986	1557.58719	1567.46502
5/15/2023 18:56:39.99593	1518.17185	1528.05662	1538.07409	1547.8894	1557.58752	1567.46596
5/15/2023 18:56:40.49593	1518.17029	1528.05625	1538.07454	1547.8897	1557.58796	1567.46573
5/15/2023 18:56:40.99593	1518.17225	1528.05407	1538.07178	1547.88951	1557.58543	1567.46654
5/15/2023 18:56:41.49593	1518.17065	1528.05545	1538.0744	1547.88965	1557.58747	1567.46625
5/15/2023 18:56:41.99593	1518.17142	1528.05506	1538.07313	1547.88867	1557.58544	1567.46651
5/15/2023 18:56:42.49593	1518.17074	1528.05632	1538.07387	1547.89034	1557.58772	1567.46562
5/15/2023 18:56:42.99593	1518.1711	1528.05452	1538.07359	1547.88776	1557.58548	1567.46585
5/15/2023 18:56:43.49593	1518.17047	1528.05544	1538.07367	1547.88887	1557.58548	1567.46572
5/15/2023 18:56:43.99593	1518.17084	1528.05567	1538.07501	1547.88967	1557.5862	1567.46581
5/15/2023 18:56:44.49593	1518.17207	1528.05431	1538.07305	1547.88978	1557.58635	1567.46673
5/15/2023 18:56:44.99593	1518.17126	1528.0545	1538.07394	1547.88845	1557.58669	1567.46548
5/15/2023 18:56:45.49593	1518.17138	1528.0553	1538.07304	1547.88983	1557.58843	1567.46575
5/15/2023 18:56:45.99593	1518.17118	1528.05544	1538.07403	1547.89011	1557.58706	1567.46568
5/15/2023 18:56:46.49593	1518.1715	1528.05488	1538.07424	1547.88862	1557.58501	1567.4668
5/15/2023 18:56:46.99593	1518.17202	1528.05456	1538.07368	1547.88886	1557.58643	1567.46553
5/15/2023 18:56:47.49593	1518.17108	1528.05495	1538.07202	1547.88998	1557.58669	1567.46699
5/15/2023 18:56:47.99593	1518.17105	1528.05566	1538.07415	1547.88979	1557.58735	1567.46558
5/15/2023 18:56:48.49593	1518.1713	1528.05514	1538.07347	1547.88915	1557.58593	1567.46668
5/15/2023 18:56:48.99593	1518.16855	1528.05561	1538.07316	1547.89113	1557.58722	1567.46519
5/15/2023 18:56:49.49593	1518.17096	1528.05489	1538.0742	1547.88905	1557.58596	1567.46549
5/15/2023 18:56:49.99593	1518.17118	1528.05601	1538.07279	1547.88904	1557.58652	1567.46604
5/15/2023 18:56:50.49593	1518.17129	1528.05471	1538.07418	1547.89063	1557.58635	1567.46513
5/15/2023 18:56:50.99593	1518.17061	1528.05521	1538.07306	1547.88831	1557.58641	1567.46608
5/15/2023 18:56:51.49593	1518.17106	1528.05514	1538.07466	1547.8889	1557.58802	1567.46598
